HD,Teff,log_g,vt,Fe_H,mv,Av,p,e_p,Mv,BC,Mbol,log_L,M,e_M_pos,e_M_neg,log_R,e_log_R,log_age,e_log_age_pos,e_log_age_neg,log_g_TLM,source_id
196857,4878,2.55,1.44,-0.27,5.79,0.15,9.9,1.05,0.62,-0.31,0.31,1.77,2.15,0.31,-0.15,1.03,0.05,9.01,0.06,-0.25,2.7,6863070805129541888
199665,4985,2.84,1.19,-0.05,5.51,0.04,13.68,0.7,1.15,-0.27,0.88,1.55,2.25,0.05,-0.06,0.9,0.03,8.9,0.03,-0.03,2.99,1756741374681702784
200039,4965,2.67,1.36,-0.13,5.99,0.02,7.51,0.52,0.35,-0.27,0.07,1.87,2.62,0.1,-0.21,1.07,0.04,8.7,0.17,-0.05,2.72,2278334297735020672
201381,4951,2.77,1.3,-0.04,4.5,0.07,19.93,0.77,0.93,-0.28,0.66,1.64,2.35,0.05,-0.08,0.95,0.03,8.85,0.04,-0.03,2.91,6895103083539482496
203222,5067,2.78,1.29,-0.02,5.87,0.11,9.69,0.86,0.69,-0.24,0.45,1.72,2.49,0.09,-0.09,0.98,0.04,8.77,0.05,-0.04,2.89,6911546760969258880
203387,5244,3.07,1.26,0.07,4.28,0.08,15.13,0.8,0.1,-0.19,-0.09,1.94,2.79,0.07,-0.06,1.05,0.03,8.63,0.03,-0.03,2.78,6835905927256722688
204381,5100,2.84,1.33,-0.06,4.5,0.09,18.18,0.89,0.71,-0.23,0.48,1.71,2.47,0.05,-0.04,0.96,0.03,8.78,0.02,-0.02,2.9,6828451375858909568
204771,4967,2.93,1.26,0.09,5.22,0.16,14.58,0.54,0.88,-0.27,0.61,1.66,2.44,0.04,-0.05,0.96,0.03,8.79,0.02,-0.03,2.91,1972198271665518208
205072,4995,2.72,1.34,-0.14,5.97,0.02,9.18,0.46,0.76,-0.26,0.49,1.7,2.41,0.05,-0.1,0.98,0.03,8.8,0.07,-0.03,2.87,2297484663555075712
205435,5114,3.0,1.2,-0.1,3.98,0.09,26.2,0.51,0.98,-0.23,0.75,1.6,2.33,0.03,-0.03,0.91,0.02,8.85,0.02,-0.01,2.99,1971163631220899968
206356,4938,2.8,1.28,0.11,5.24,0.16,13.18,0.8,0.68,-0.28,0.4,1.74,2.55,0.07,-0.06,1.01,0.03,8.74,0.03,-0.03,2.83,6816586167927675776
206453,5038,2.43,1.48,-0.38,4.72,0.13,11.22,0.79,-0.16,-0.25,-0.41,2.07,2.97,0.11,-0.3,1.15,0.04,8.53,0.19,-0.04,2.61,6836557216095979136
209396,4999,2.81,1.3,0.04,5.55,0.12,12.02,0.8,0.83,-0.26,0.56,1.67,2.46,0.07,-0.07,0.96,0.04,8.79,0.04,-0.03,2.9,2620453353670948352
210354,4793,2.36,1.39,-0.22,5.58,0.05,11.51,0.64,0.84,-0.34,0.5,1.7,1.92,0.34,-0.03,1.01,0.03,9.12,0.02,-0.23,2.7,1899240933502898944
210434,4949,2.93,1.36,0.12,5.98,0.13,11.57,0.86,1.17,-0.28,0.9,1.54,2.29,0.09,-0.1,0.91,0.04,8.87,0.06,-0.05,2.99,2627145187596080512
210702,4967,3.19,1.1,0.01,5.93,0.05,17.88,0.74,2.14,-0.27,1.87,1.15,1.68,0.16,-0.18,0.71,0.03,9.28,0.16,-0.12,3.25,1775004778213735168
210807,5071,2.58,1.57,-0.1,4.79,0.28,8.64,0.44,-0.81,-0.24,-1.05,2.32,3.5,0.1,-0.1,1.27,0.03,8.37,0.06,-0.03,2.44,2230744513908056192
211391,4909,2.57,1.36,0.09,4.17,0.1,17.04,0.74,0.23,-0.29,-0.06,1.92,2.78,0.05,-0.29,1.1,0.03,8.64,0.23,-0.03,2.68,2616542115933350144
211434,5082,2.7,1.37,-0.26,5.75,0.14,9.56,0.86,0.51,-0.24,0.27,1.79,2.53,0.13,-0.12,1.01,0.04,8.73,0.05,-0.05,2.83,2626111784104743936
211554,5043,2.41,1.63,0.05,5.88,0.69,4.48,0.56,-1.55,-0.25,-1.8,2.62,4.26,0.28,-0.24,1.43,0.06,8.12,0.08,-0.08,2.21,2198492573700708608
212271,5002,2.9,1.21,0.1,5.53,0.16,12.0,0.77,0.77,-0.26,0.51,1.7,2.5,0.08,-0.06,0.97,0.03,8.76,0.03,-0.04,2.89,6625677929634767360
212320,5075,2.59,1.46,-0.11,5.92,0.17,7.1,0.93,0.01,-0.24,-0.22,1.99,2.84,0.19,-0.15,1.11,0.06,8.61,0.09,-0.08,2.68,2622551324935995136
212430,4954,2.56,1.39,-0.17,5.76,0.17,6.01,0.76,-0.52,-0.28,-0.8,2.22,3.17,0.16,-0.19,1.24,0.06,8.49,0.06,-0.04,2.45,2599694230540900352
212496,4710,2.43,1.22,-0.33,4.42,0.17,19.21,0.51,0.67,-0.38,0.29,1.78,1.85,0.32,-0.08,1.07,0.02,9.12,0.05,-0.21,2.57,2001387556602514304
213789,5010,2.73,1.37,-0.06,5.88,0.07,7.35,0.86,0.14,-0.26,-0.12,1.95,2.77,0.16,-0.13,1.1,0.05,8.64,0.06,-0.07,2.69,2628940105968510208
213930,5011,2.87,1.34,0.12,5.72,0.34,9.6,0.53,0.29,-0.26,0.04,1.89,2.75,0.06,-0.06,1.07,0.03,8.65,0.03,-0.03,2.75,2006866663560075776
213986,4928,2.83,1.27,0.08,5.97,0.14,9.66,0.85,0.75,-0.29,0.46,1.72,2.5,0.11,-0.28,1.0,0.04,8.76,0.22,-0.05,2.85,6624126484368797568
214567,4989,2.69,1.33,-0.21,5.84,0.09,8.55,0.75,0.41,-0.27,0.15,1.84,2.57,0.05,-0.2,1.05,0.04,8.71,0.17,-0.02,2.75,2834089871697436544
214878,5041,2.85,1.29,0.04,5.94,0.34,9.49,0.54,0.49,-0.25,0.24,1.8,2.62,0.06,-0.06,1.02,0.03,8.71,0.03,-0.03,2.82,2003121005396125184
215030,4731,2.41,1.25,-0.49,5.93,0.06,10.08,0.65,0.89,-0.37,0.53,1.69,1.83,0.24,-0.49,1.02,0.03,9.24,0.35,-0.29,2.67,1932600700404100864
215373,5007,2.69,1.39,0.1,5.11,0.05,11.89,0.6,0.44,-0.26,0.18,1.83,2.66,0.06,-0.05,1.04,0.03,8.69,0.03,-0.03,2.79,1932994222486995968
215721,4829,2.23,1.39,-0.48,5.24,0.1,12.26,0.87,0.58,-0.33,0.26,1.8,1.95,0.27,-0.22,1.06,0.04,9.07,0.15,-0.16,2.62,2401210322775501184
215943,4878,2.68,1.33,-0.04,5.82,0.06,8.96,0.76,0.52,-0.3,0.21,1.81,2.45,0.15,-0.09,1.05,0.04,8.84,0.05,-0.12,2.72,1927925851839299968
216131,5000,2.69,1.24,-0.05,3.51,0.06,27.95,0.77,0.68,-0.26,0.42,1.73,2.49,0.04,-0.05,0.99,0.02,8.77,0.05,-0.02,2.85,1876510592179455744
217264,4946,2.8,1.27,0.12,5.43,0.07,11.63,0.93,0.69,-0.28,0.41,1.74,2.55,0.09,-0.08,1.0,0.04,8.74,0.04,-0.04,2.84,2652410315534825088
217703,4890,2.91,1.16,-0.17,5.97,0.1,13.01,0.78,1.44,-0.3,1.14,1.44,1.98,0.09,-0.2,0.87,0.03,9.05,0.18,-0.06,3.0,2398487519668274048
218527,4935,2.57,1.33,-0.34,5.42,0.07,11.64,1.28,0.68,-0.29,0.39,1.74,2.11,0.34,-0.07,1.01,0.05,9.03,0.02,-0.25,2.75,2658379632881716480
219139,4860,2.5,1.38,-0.19,5.85,0.07,9.72,0.77,0.72,-0.31,0.41,1.74,2.29,0.14,-0.23,1.02,0.04,8.88,0.18,-0.1,2.76,2810597431380568448
219615,4802,2.25,1.37,-0.62,3.7,0.06,24.92,0.89,0.62,-0.34,0.29,1.79,1.67,0.43,-0.16,1.05,0.03,9.2,0.23,-0.28,2.55,2658974606111711488
219945,4874,2.61,1.36,-0.1,5.44,0.18,9.95,0.63,0.25,-0.31,-0.06,1.92,2.57,0.15,-0.11,1.11,0.03,8.77,0.05,-0.11,2.63,1942451431236802816
221345,4813,2.63,1.43,-0.24,5.22,0.13,13.09,0.71,0.67,-0.33,0.34,1.76,2.2,0.13,-0.18,1.04,0.03,8.93,0.12,-0.06,2.7,1920113512486282240
222093,4853,2.56,1.38,-0.12,5.66,0.1,11.5,0.89,0.86,-0.31,0.55,1.68,2.28,0.12,-0.22,0.99,0.04,8.89,0.12,-0.07,2.81,2432369829471667200
222387,5055,2.81,1.22,-0.11,5.98,0.31,7.78,0.6,0.12,-0.24,-0.13,1.95,2.79,0.1,-0.1,1.09,0.04,8.63,0.04,-0.04,2.7,2229060783650256512
222574,5523,1.99,2.2,0.04,4.82,0.1,5.07,0.83,-1.75,-0.13,-1.88,2.65,4.23,0.39,-0.31,1.37,0.07,8.13,0.1,-0.11,2.34,2394297418293724416
223252,5031,2.72,1.34,-0.03,5.49,0.1,11.19,0.85,0.63,-0.25,0.38,1.75,2.52,0.08,-0.08,0.99,0.04,8.76,0.04,-0.04,2.85,2447690110960258176
224533,5030,2.73,1.28,-0.01,4.88,0.1,14.58,0.83,0.6,-0.25,0.35,1.76,2.54,0.07,-0.06,1.0,0.03,8.75,0.03,-0.03,2.84,2448049586839781376
