name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,log_g,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,Star Name,Gaia_ID,Gaia ID,source_file,parallax,vmag
11 Com b,Confirmed,16.1284,1.53491,1.53491,16.1284,1.53491,1.53491,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,0.011664,2007.0,2023-03-03,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,,,,,,,,,,,,,,,302.8,2.6,2.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,11 Com,185.1791667,17.7927778,2.4,4.74,,,,,110.6,10.5,10.5,-0.35,0.09,0.09,2.7,0.3,0.3,19.0,2.0,2.0,G8 III,,,,4742.0,100.0,100.0,,,,11 Com,Gaia DR3 3946945413106333696,3946945413106333696,lick_GK_survey_with_gaia_id.csv,10.167679527196396,4.72307
14 And b,Confirmed,4.684,0.23,0.23,4.684,0.23,0.23,,,,185.84,0.23,0.23,0.83,,,0.0,,,,,,0.010864,2008.0,2023-03-03,,,,2452861.4,1.5,1.5,,,,,,,,,,,,,,,,,,,100.0,1.3,1.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,14 And,352.8208333,39.2361111,2.63,5.22,4.1,3.02,2.61,2.33,76.4,4.1,4.1,-0.24,,,2.2,0.2,0.2,11.0,1.0,1.0,K0III,,,,4813.0,20.0,20.0,,,,14 And,Gaia DR3 1920113512486282240,1920113512486282240,EAPSNet1_stellar_params_with_gaia_id.csv,13.16814560392618,5.23133
17 Sco b,Confirmed,4.32,0.12,0.12,4.32,0.12,0.12,,,,578.38,2.0,2.0,1.45,0.02,0.02,0.06,0.02,0.02,,,,,2020.0,2020-10-26,57.03,106.77,106.77,2453294.28,182.91,182.91,,,,,,,,,,,,,,,,,,,92.4,3.84,3.84,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,17 Sco,243.462500017,-11.837777798,1.7,5.24,,,,,116.0,4.53,4.53,-0.01,0.1,0.1,1.22,0.14,0.14,25.92,0.74,0.74,K3 III,5.13,1.33,1.33,4157.0,11.0,11.0,,,,17 Sco,Gaia DR3 4342464209753404416,4342464209753404416,lick_GK_survey_with_gaia_id.csv,7.287383836953851,5.22606
18 Del b,Confirmed,10.3,0.36,0.36,10.3,0.36,0.36,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,0.035568,2008.0,2021-10-02,166.1,6.5,6.5,2451672.0,18.0,18.0,,,,,,,,,,,,,,,,,,,119.4,1.3,1.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,18 Del,314.6083333,10.8391667,2.84,5.52,,4.03,3.44,3.67,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,,,8.5,,,G6III,,,,4979.0,18.0,18.0,,,,18 Del,Gaia DR3 1756741374681702784,1756741374681702784,EAPSNet1_stellar_params_with_gaia_id.csv,13.302135426379998,5.51048
24 Boo b,Confirmed,0.91,0.11,0.11,0.91,0.11,0.11,,,,30.3506,0.0078,0.0078,0.19,0.009,0.009,0.042,0.029,0.029,,,,,2018.0,2023-08-07,210.0,130.0,130.0,2450008.6,7.9,7.9,,,,,,,,,,,,,,,,,,,59.9,3.3,3.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Bo&ouml;,217.162500013,49.845000026,2.17,5.6,,,,,100.0,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.13,10.64,0.59,0.59,G3IV,6.92,4.8,4.8,4893.0,15.0,15.0,,,,24 Bo&ouml;,Gaia DR3 1603662211901473408,1603662211901473408,ptps_with_gaia_id.csv,10.589485564567772,5.59
24 Sex b,Confirmed,1.84,0.11,0.11,1.84,0.11,0.11,,,,452.8,4.5,4.5,1.333,0.009,0.009,0.09,0.06,0.06,,,,0.017821,2010.0,2021-10-02,9.2,165.4,165.4,2454762.0,172.3,172.3,,,,,,,,,,,,,,,,,,,33.2,1.6,1.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.868205808,-0.902243675771,3.26,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098.0,44.0,44.0,,,,24 Sex,Gaia DR3 3830897080395058048,3830897080395058048,keck_hires_with_gaia_id.csv,13.640243543129564,6.4535
3 Cnc b,Confirmed,20.76,0.73,0.73,20.76,0.73,0.73,,,,853.64,4.76,4.76,2.52,0.04,0.04,0.04,0.03,0.03,,,,,2020.0,2020-10-26,275.18,96.04,96.04,2453806.7,175.74,175.74,,,,,,,,,,,,,,,,,,,216.17,11.16,11.16,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,3 Cnc,120.195833349,17.308611124,1.77,5.6,,,,,243.3,26.86,26.86,0.06,0.1,0.1,2.94,0.33,0.33,39.38,3.3,3.3,K3 III,0.43,0.12,0.12,4319.0,22.0,22.0,,,,3 Cnc,Gaia DR3 667368721582875520,667368721582875520,lick_GK_survey_with_gaia_id.csv,4.0598374060932585,5.58104
44 Uma b,Confirmed,12.11,0.85,0.85,12.11,0.85,0.85,,,,785.74,4.77,4.77,2.16,0.06,0.06,0.11,0.06,0.06,,,,,2020.0,2020-10-26,135.6,45.6,45.6,2453560.34,90.8,90.8,,,,,,,,,,,,,,,,,,,158.74,8.62,8.62,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,44 Uma,163.393550338754,54.5851274110819,1.31,5.12,,,,,200.4,12.43,12.43,-0.21,0.1,0.1,2.19,0.43,0.43,45.12,2.32,2.32,K3 III,1.05,0.18,0.18,4215.0,13.0,13.0,,,,44 Uma,Gaia DR3 849917888362404224,849917888362404224,lick_GK_survey_with_gaia_id.csv,5.490027836562714,5.1134
6 Lyn b,Confirmed,2.01,0.077,0.077,2.01,0.077,0.077,,,,934.3,8.6,8.6,2.11,0.11,0.11,0.073,0.036,0.036,,,,0.038664,2008.0,2021-04-11,130.0,38.0,38.0,2455384.0,94.0,94.0,,,,,,,,,,,,,,,,,,,32.8,1.2,1.2,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,6 Lyn,97.6958333,58.1627778,3.22,5.86,4.8,4.27,3.03,3.7,56.9,2.5,2.5,-0.13,0.02,0.02,1.7,0.2,0.2,5.2,0.3,0.3,K0IV,,,,4978.0,18.0,18.0,,,,6 Lyn,Gaia DR3 1004358968092652544,1004358968092652544,keck_hires_with_gaia_id.csv,18.218259854179408,5.87307
75 Cet b,Confirmed,0.0078,0.00028,0.00028,0.0078,0.00028,0.00028,,,,696.6,3.6,3.6,1.912,0.003,0.003,0.093,0.04,0.04,,,,,2012.0,2023-08-11,203.0,10.0,10.0,2455046.9,54.0,54.0,,,,,,,,,,,,,,,,,,,36.92,1.35,1.35,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,75 Cet,38.0375,-1.035,2.68,5.36,,,,,81.5,7.51,7.51,0.0,0.04,0.04,2.49,0.02,0.02,10.5,1.0,1.0,G3III,,,,4846.0,18.0,18.0,,,,75 Cet,Gaia DR3 2500064286492779264,2500064286492779264,express_post_MS_with_gaia_id.csv,12.171720961532358,5.3532
7 CMa b,Confirmed,1.895,0.04,0.04,1.895,0.04,0.04,,,,736.9,1.0,1.0,1.761,0.01,0.01,0.055,0.03,0.03,,,,0.096203,2011.0,2019-10-15,116.4,71.0,71.0,2454093.0,34.0,34.0,,,,,,,,,,,,,,,,,,,35.1,0.9,0.9,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,HD 47205 b,,7 CMa,99.1708333,-19.2558333,3.14,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792.0,100.0,100.0,,,,7 CMa,Gaia DR3 2939555954755196160,2939555954755196160,PPPS_star_with_gaia_id.csv,48.84903322564029,3.95
81 Cet b,Confirmed,5.3,,,5.3,,,,,,952.7,8.8,8.8,2.5,,,0.206,0.029,0.029,,,,0.02572,2008.0,2014-08-27,175.0,6.9,6.9,2452486.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,81 Cet,39.425,-3.3961111,2.35,5.65,,3.94,3.38,3.27,97.2,9.2,9.2,-0.06,0.03,0.03,2.4,0.4,0.4,11.0,0.1,0.1,G5III,,,,,,,,,,81 Cet,Gaia DR3 2495420602212048640,2495420602212048640,EAPSNet1_stellar_params_with_gaia_id.csv,9.519949880194927,5.64307
91 Aqr b,Confirmed,3.2,,,3.2,,,,,,181.4,0.1,0.1,0.7,,,0.027,0.026,0.026,,,,0.006593,2003.0,2015-08-21,177.3,0.8,0.8,2453472.1,24.0,24.0,,,,,,,,,,,,,,,,,,,91.0,2.3,2.3,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,91 Aqr,348.9708333,-9.0875,2.54,4.21,,,,,45.9,0.6,0.6,-0.03,0.1,0.1,1.4,0.1,0.1,11.0,0.1,0.1,K0 III,3.56,0.63,0.63,4665.0,18.0,18.0,,,,91 Aqr,Gaia DR3 2630155547353593216,2630155547353593216,lick_GK_survey_with_gaia_id.csv,22.092365568710097,4.23946
BD+03 2562 b,Confirmed,6.4,1.3,1.3,6.4,1.3,1.3,,,,481.9,2.8,2.8,1.3,0.1,0.1,0.2,0.08,0.08,,,,,2017.0,2017-06-30,218.0,26.0,26.0,2453726.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+03 2562,177.564802922,2.76013113422,1.89,9.58,,,,,2618.0,564.0,564.0,-0.71,0.09,0.09,1.14,0.25,0.25,32.35,8.82,8.82,,5.25,2.0,2.0,4095.0,20.0,20.0,,,,BD+03 2562,Gaia DR3 3895649725336884736,3895649725336884736,ptps_with_gaia_id.csv,1.01390585009288,9.577
BD+14 4559 b,Confirmed,1.47,,,1.47,,,,,,268.94,0.99,0.99,0.777,,,0.29,0.03,0.03,,,,0.01554,2009.0,2016-02-23,87.64,7.87,7.87,2453294.21,6.35,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+14 4559,318.4,14.6894444,4.6,9.63,,,,,50.0,4.0,4.0,0.1,0.07,0.07,0.86,0.15,0.15,,,,K2V,,,,5008.0,20.0,20.0,,,,BD+14 4559,Gaia DR3 1759623813132980864,1759623813132980864,ptps_with_gaia_id.csv,20.283719234387764,9.78
BD+15 2375 b,Confirmed,1.06,0.27,0.27,1.06,0.27,0.27,,,,153.22,0.44,0.44,0.576,0.027,0.027,0.001,0.001,0.001,,,,,2016.0,2016-03-21,55.0,17.0,17.0,2457680.0,630.0,630.0,,,,,,,,,,,,,,,,,,,38.3,1.0,1.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+15 2375,176.483333352,14.616388914,2.61,10.3,,,,,774.0,165.0,165.0,-0.22,0.08,0.08,1.08,0.14,0.14,8.95,1.45,1.45,,7.4,,,4649.0,30.0,30.0,,,,BD+15 2375,Gaia DR3 3924009634910406912,3924009634910406912,ptps_with_gaia_id.csv,1.4548333096839807,10.41
BD+15 2940 b,Confirmed,1.11,,,1.11,,,,,,137.48,0.34,0.34,0.539,,,0.26,0.1,0.1,,,,,2013.0,2013-04-30,302.0,33.0,33.0,2453464.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+15 2940,240.0958,15.5469,2.8,9.19,,,,,585.0,455.0,455.0,0.28,0.07,0.07,1.1,0.2,0.2,14.7,2.8,2.8,K0,7.1,4.2,4.2,4796.0,117.0,117.0,,,,BD+15 2940,Gaia DR3 1193071962699902336,1193071962699902336,ptps_with_gaia_id.csv,2.4549346110925248,9.01
BD+20 2457 b,Confirmed,21.42,,,21.42,,,,,,379.63,2.01,2.01,1.45,,,0.15,0.03,0.03,,,,0.00725,2009.0,2016-02-23,207.64,21.99,21.99,2454677.53,28.19,28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 2457,154.1875,19.8913889,1.51,9.75,,,,,1670.0,125.0,125.0,-1.0,0.07,0.07,2.8,1.5,1.5,,,,K2II,,,,4127.0,17.0,17.0,,,,BD+20 2457,Gaia DR3 625137162857354880,625137162857354880,ptps_with_gaia_id.csv,0.6787356866460015,9.743
BD+20 274 b,Confirmed,4.2,,,4.2,,,,,,578.2,5.4,5.4,1.3,,,0.21,0.06,0.06,,,,,2010.0,2021-04-11,108.5,38.1,38.1,2453920.5,33.2,33.2,,,,,,,,,,,,,,,,,,,121.4,6.4,6.4,,,,,,,,,Announced on a professional conference,Other,,,,,BD+20 274,25.9208333,21.005,1.99,9.36,,,,,,,,-0.46,0.07,0.07,0.8,0.2,0.2,17.3,0.9,0.9,K5,,,,4296.0,10.0,10.0,,,,BD+20 274,Gaia DR3 96530596864007552,96530596864007552,ptps_with_gaia_id.csv,0.8331223811176302,9.367
BD+24 4697 b,Confirmed,53.0,3.0,3.0,53.0,3.0,3.0,,,,145.081,0.016,0.016,0.5,0.08,0.08,0.50048,0.00043,0.00043,,,,,2016.0,2018-12-21,66.35,0.09,0.09,2455986.042,0.037,0.037,,,,,,,,,,,,,,,,,,,2728.4,1.6,1.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"2MASS J23013928+2547169 b, HIP 113698 b",,BD+24 4697,345.413842193,25.7879279579,4.68,9.74,,,,,44.7922,0.2605,0.2605,-0.11,0.02,0.02,0.75,0.05,0.05,,,,K2V,,,,5077.0,32.0,32.0,,,"HIP 113698, 2MASS J23013928+2547169",BD+24 4697,Gaia DR3 2843794470563210496,2843794470563210496,ptps_with_gaia_id.csv,22.062594655288017,9.77
BD+45 564 b,Confirmed,1.36,0.12,0.12,1.36,0.12,0.12,,,,307.88,1.47,1.47,0.83,0.04,0.04,0.12,0.06,0.06,,,,,2021.0,2021-05-21,70.31,51.85,51.85,2457734.61,6.1,6.1,,,,,,,,,,,,,,,,,,,47.68,2.78,2.78,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+45 564,32.945833349,45.924166691,4.47,9.5,,,,,53.7,0.2,0.2,,,,,,,,,,K1,,,,,,,,,,BD+45 564,Gaia DR3 353030751066772480,353030751066772480,ptps_with_gaia_id.csv,18.74158592713592,9.67
BD+48 738 b,Confirmed,0.91,,,0.91,,,,,,392.6,5.5,5.5,1.0,,,0.2,0.1,0.1,,,,,2011.0,2019-06-13,358.9,31.1,31.1,2454457.2,28.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD +48 738,40.7083333,49.5869444,2.24,9.14,,,,,,,,-0.2,0.07,0.07,0.74,0.39,0.39,11.0,1.0,1.0,K0III,,,,4414.0,15.0,15.0,,,,BD +48 738,Gaia DR3 438899345022759424,438899345022759424,ptps_with_gaia_id.csv,1.2272488868042843,9.139
BD+48 740 b,Confirmed,1.7,0.7,0.7,1.7,0.7,0.7,,,,733.0,8.0,8.0,1.7,0.7,0.7,0.76,0.09,0.09,,,,,2012.0,2020-03-08,100.0,15.0,15.0,2454774.0,15.0,15.0,,,,,,,,,,,,,,,,,,,54.0,8.0,8.0,,,,,,,,,Published in a refereed paper,Other,,,,,BD+48 740,40.7425761701428,48.9300627759788,2.48,8.7,,,,,678.933,22.1256,22.1256,-0.13,0.06,0.06,1.09,0.16,0.16,10.33,1.81,1.81,K3 III,,,,4534.0,8.0,8.0,,,,BD+48 740,Gaia DR3 438444868763388800,438444868763388800,ptps_with_gaia_id.csv,1.5922712327960349,8.69
BD+49 828 b,Confirmed,1.6,0.2,0.2,1.6,0.2,0.2,,,,2590.0,180.0,180.0,4.2,0.2,0.2,0.35,0.1,0.1,,,,,2015.0,2015-07-26,170.0,32.0,32.0,2455470.0,170.0,170.0,,,,,,,,,,,,,,,,,,,18.8,2.0,2.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+49 828,45.641666678,49.730000025,2.85,9.38,,,,,,,,-0.19,0.06,0.06,1.52,0.22,0.22,7.6,1.3,1.3,K0III,2.3,,,4943.0,30.0,30.0,,,,BD+49 828,Gaia DR3 439327501725338752,439327501725338752,ptps_with_gaia_id.csv,2.311753519718552,9.381
beta Cnc b,Confirmed,7.8,0.8,0.8,7.8,0.8,0.8,,,,605.2,4.0,4.0,1.7,0.1,0.1,0.08,0.02,0.02,,,,,2014.0,2014-05-12,58.9,0.9,0.9,2453229.8,9.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,bet Cnc b,,beta Cnc,124.129166677,9.185555561,1.03,3.5,,,,,92.99,1.7,1.7,-0.29,0.06,0.06,1.7,0.1,0.1,48.96,4.23,4.23,K4III,1.85,0.34,0.34,3990.0,20.0,20.0,,,bet Cnc,beta Cnc,Gaia DR3 3098404220680931968,3098404220680931968,lick_GK_survey_with_gaia_id.csv,10.102592897316669,3.51012
eps Tau b,Confirmed,7.34,0.4,0.4,7.34,0.4,0.4,,,,594.9,5.3,5.3,1.9,0.05,0.05,0.151,0.023,0.023,,,,0.042889,2007.0,2016-02-01,94.4,7.4,7.4,2452879.0,12.0,12.0,,,,,,,,,,,,,,,,,,,93.2,2.1,2.1,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,eps Tau,67.1541667,19.1805556,2.66,3.53,,,,,45.0,,,0.17,0.04,0.04,2.7,0.1,0.1,13.7,0.6,0.6,K0 III,0.625,0.05,0.05,4901.0,20.0,20.0,,,"74 Tau, HD 28305",eps Tau,Gaia DR3 48026706558487040,48026706558487040,lick_GK_survey_with_gaia_id.csv,22.36535445562801,3.523
eta Cet b,Confirmed,2.55,0.13,0.13,2.55,0.13,0.13,,,,403.5,1.5,1.5,1.27,,,0.13,0.05,0.05,,,,,2014.0,2015-08-21,250.6,20.5,20.5,,,,,,,,,,,,,,,,,,,,,,51.1,2.5,2.5,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,eta Cet,17.145833345,-10.182222238,2.36,3.45,,,,,38.0,0.2,0.2,0.12,0.08,0.08,1.7,0.1,0.1,14.3,0.2,0.2,K1III,,,,4528.0,19.0,19.0,,,,eta Cet,Gaia DR3 2470140321630664064,2470140321630664064,lick_GK_survey_with_gaia_id.csv,27.060320608827386,3.44551
gam Psc b,Confirmed,1.34,0.31,0.31,1.34,0.31,0.31,,,,555.1,2.5,2.5,1.32,0.08,0.08,0.2,0.14,0.14,,,,,2021.0,2021-12-17,44.0,56.0,56.0,2455394.6,64.0,64.0,,,,,,,,,,,,,,,,,,,34.0,5.0,5.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,gam Psc,349.29166667,3.28222224,2.43,,,,,,,,,,,,,,,,,,G9 III,,,,,,,,,,gam Psc,Gaia DR3 2658974606111711488,2658974606111711488,ptps_with_gaia_id.csv,24.195792360183937,3.69252
HD 102272 b,Confirmed,5.9,0.2,0.2,5.9,0.2,0.2,,,,127.58,0.3,0.3,0.614,0.001,0.001,0.05,0.04,0.04,,,,0.001706,2008.0,2008-06-11,118.0,58.0,58.0,52146.5,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102272,176.6,14.1238889,2.57,8.71,,6.9,6.4,6.26,360.0,90.0,90.0,0.26,0.08,0.08,1.9,0.3,0.3,10.1,4.6,4.6,K0,,,,4908.0,35.0,35.0,,,,HD 102272,Gaia DR3 3923915248709126144,3923915248709126144,ptps_with_gaia_id.csv,2.820620961345383,8.69
HD 102329 b,Confirmed,5.9,0.3,0.3,5.9,0.3,0.3,,,,778.1,7.1,7.1,2.01,0.05,0.05,0.211,0.044,0.044,,,,0.012722,2011.0,2011-09-01,182.0,10.0,10.0,2455096.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102329,176.6958333,3.4741667,2.77,8.04,,,,,158.0,21.0,21.0,0.3,0.03,0.03,1.95,0.14,0.14,6.3,0.1,0.1,,1.6,0.4,0.4,4830.0,44.0,44.0,,,,HD 102329,Gaia DR3 3895948101012579456,3895948101012579456,keck_hires_with_gaia_id.csv,4.689926373005451,7.88
HD 102956 b,Confirmed,0.96,0.023,0.023,0.96,0.023,0.023,,,,6.4947,0.00019,0.00019,0.0807,0.0073,0.0073,0.037,0.019,0.019,,,,0.000643,2010.0,2021-04-12,301.0,33.0,33.0,2455351.45,0.64,0.64,,,,,,,,,,,,,,,,,,,74.6,1.8,1.8,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102956,177.8458333,57.6408333,3.38,8.0,,,,,126.0,13.0,13.0,0.19,0.04,0.04,1.68,0.11,0.11,4.4,0.1,0.1,A,2.3,5.0,5.0,5054.0,44.0,44.0,,,,HD 102956,Gaia DR3 845335158256083584,845335158256083584,keck_hires_with_gaia_id.csv,8.169064992326973,7.86
